year,teamId,team,classification,conference,division,expectedWins,total,conferenceGames,homeGames,awayGames,neutralSiteGames,regularSeason,postseason
2026,251,Texas,fbs,SEC,,1.0785506814718246,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,252,BYU,fbs,Big 12,,1.973340630531311,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,254,Utah,fbs,Big 12,,1.9905623197555542,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,256,James Madison,fbs,Sun Belt,East,1.959581971168518,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,258,Virginia,fbs,ACC,,1.986505389213562,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,259,Virginia Tech,fbs,ACC,,1.9748685359954834,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,264,Washington,fbs,Big Ten,,1.8371924757957458,"{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":0,""ties"":0,""wins"":2}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,265,Washington State,fbs,Pac-12,,0.022861719131469727,"{""games"":2,""losses"":2,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":2,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":2,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,275,Wisconsin,fbs,Big Ten,,1.0840436816215515,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
2026,276,Marshall,fbs,Sun Belt,East,0.7500147819519043,"{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":1,""losses"":0,""ties"":0,""wins"":1}","{""games"":1,""losses"":1,""ties"":0,""wins"":0}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}","{""games"":2,""losses"":1,""ties"":0,""wins"":1}","{""games"":0,""losses"":0,""ties"":0,""wins"":0}"
